Source,Title,Link,Summary,Published,SEO_Score,cleaned,topic_cluster,sentiment_score,lexicon_score,impact_score,impact_level,operational_tag,event_flag,cluster_name
News.lk,Support the continued maintenance of the economic stability we have achieved – President tells the Government Medical Officers’ Association,https://news.lk/news/support-the-continued-maintenance-of-the-economic-stability-we-have-achieved-president-tells-the-government-medical-officers-association,"“Let us rebuild this country together, without creating a situation where you keep asking and I simply keep giving.” – President","Tue, 18 Nov 2025 00:04:10 +0530",6.4,support continued maintenance economic stability achieved president tells government medical officers association let us rebuild country together without creating situation keep asking simply keep giving president,3,0.4959,4.0,4.4959,High Opportunity,"transport, energy, health, security, sentiment",Major Event,"Sri, Lanka, Relief"
News.lk,Discussion held to establish a stable programme to resolve issues faced by local big onion farmers,https://news.lk/news/discussion-held-to-establish-a-stable-programme-to-resolve-issues-faced-by-local-big-onion-farmers,"A discussion aimed at formulating a systematic programme to address the issues faced by local big onion farmers was held this morning (17) at the Presidential Secretariat. It was held under the patronage of the Minister of Agriculture, Livestock, Land and Irrigation, K. D. Lal Kantha, together with the Minister of Trade, Commerce, Food Security and Cooperative Development, Wasantha Samarasinghe.
Minister K. D. Lal kantha pointed out that while a concrete programme has long existed to safeguard paddy farmers, no such systematic plan had been developed for other crops. He stated that this is the first time a government is preparing a definitive programme to resolve the problems of big onion farmers, emphasising that the present government’s objective is to protect all farmers and improve their living standards.
During the discussion, it was highlighted that while seeking solutions to issues in the big onion sector, priority must be given to farmer-related challenges, while also ensuring onions are made available to consumers at affordable prices. The Minister further emphasised that all decisions must be based on accurate data.
Matters relating to increasing big onion production and the pricing mechanism were discussed in detail. The Department of Agriculture also presented a report outlining strategies and actions for sustainable production and marketing related to local big onion cultivation.
A planned programme is currently underway to increase big onion production from 17% in 2025 to 22% in 2026 and 27% in 2027.
It was also stressed that the government has decided to introduce a stable price for big onions in a manner that is fair to farmers. Lengthy discussions were held on steps that could be taken to improve storage and other facilities for farmers.
Farmers pointed out that sharp price fluctuations caused by wide market gaps posed a major challenge, yet they continue with their cultivation amidst this risk. They requested the government to provide the necessary facilities to allow them to continue big onion cultivation as a sector that could generate significant income.
As many of the farmers engaged in this sector operate on small landholdings, Minister K. D. Lalkantha emphasised the need to consider such factors when calculating production costs and making policy decisions. He also urged all farmers to register under the Department of Agrarian Development so that necessary interventions can be made promptly in emergencies.
Farmers expressed their appreciation to the government for intervening with a definitive programme, where something is being done for the first time to address their challenges. They noted their confidence in the present government and said they were ready to work together with it in seeking solutions.
Deputy Minister of Agriculture and Livestock, Namal Karunaratne; Secretary to the Ministry of Agriculture, Livestock, Lands and Irrigation, D. P. Wickramasinghe; Senior Additional Secretary to the President, Kapila Janaka Bandara; Director General of Agriculture, Dr W. A. R. T. Wickramarachchi; senior officials of the Department of Agriculture; and a group of big onion farmers representing Dambulla and Galenbindunuwewa also took part in this discussion.","Mon, 17 Nov 2025 23:39:58 +0530",6.4,discussion held establish stable programme resolve issues faced local big onion farmers discussion aimed formulating systematic programme address issues faced local big onion farmers held morning 17 presidential secretariat held patronage minister agriculture livestock land irrigation k lal kantha together minister trade commerce food security cooperative development wasantha samarasinghe minister k lal kantha pointed concrete programme long existed safeguard paddy farmers systematic plan developed crops stated first time government preparing definitive programme resolve problems big onion farmers emphasising present government objective protect farmers improve living standards discussion highlighted seeking solutions issues big onion sector priority must given farmer related challenges also ensuring onions made available consumers affordable prices minister emphasised decisions must based accurate data matters relating increasing big onion production pricing mechanism discussed detail department agriculture also presented report outlining strategies actions sustainable production marketing related local big onion cultivation planned programme currently underway increase big onion production 17 2025 22 2026 27 2027 also stressed government decided introduce stable price big onions manner fair farmers lengthy discussions held steps could taken improve storage facilities farmers farmers pointed sharp price fluctuations caused wide market gaps posed major challenge yet continue cultivation amidst risk requested government provide necessary facilities allow continue big onion cultivation sector could generate significant income many farmers engaged sector operate small landholdings minister k lalkantha emphasised need consider factors calculating production costs making policy decisions also urged farmers register department agrarian development necessary interventions made promptly emergencies farmers expressed appreciation government intervening definitive programme something done first time address challenges noted confidence present government said ready work together seeking solutions deputy minister agriculture livestock namal karunaratne secretary ministry agriculture livestock lands irrigation p wickramasinghe senior additional secretary president kapila janaka bandara director general agriculture dr w r wickramarachchi senior officials department agriculture group big onion farmers representing dambulla galenbindunuwewa also took part discussion,3,0.9886,8.0,8.9886,High Opportunity,"weather, transport, security, economic, sentiment",Major Event,"Sri, Lanka, Relief"
News.lk,Global Entrepreneurship Week 2025 Begins Under the Patronage of the Prime Minister,https://news.lk/news/global-entrepreneurship-week-2025-begins-under-the-patronage-of-the-prime-minister,All sectors must work in collective effort to empower local entrepreneurs for a digital economy.,"Sat, 15 Nov 2025 14:42:38 +0530",6.4,global entrepreneurship week 2025 begins patronage prime minister sectors must work collective effort empower local entrepreneurs digital economy,5,0.0,2.0,2.0,Opportunity,"energy, economic, sentiment",Normal,"2026, 2025, Sector"
Onlanka.com,Sri Lanka Navy moves into new Headquarters on 75th anniversary,https://www.onlanka.com/news/sri-lanka-navy-moves-into-new-headquarters-on-75th-anniversary.html,"The Sri Lanka Navy officially moved into its new Headquarters at the Defence Headquarters Complex (DHQC) in Akuregoda today (December 9), marking a historic milestone as the Navy celebrated its 75th anniversary.
The post Sri Lanka Navy moves into new Headquarters on 75th anniversary appeared first on Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA.","Tue, 09 Dec 2025 14:33:20 +0000",6.45,sri lanka navy moves new headquarters 75th anniversary sri lanka navy officially moved new headquarters defence headquarters complex dhqc akuregoda today december 9 marking historic milestone navy celebrated 75th anniversary post sri lanka navy moves new headquarters 75th anniversary appeared first sri lanka news breaking news amp top stories sri lanka onlanka,0,0.7096,2.0,2.7096,High Opportunity,security,Normal,"Lanka, Sri, Navy"
Onlanka.com,"Sri Lanka to reopen most schools from December 16, 2025",https://www.onlanka.com/news/sri-lanka-to-reopen-most-schools-from-december-16-2025.html,"The Ministry of Education in Sri Lanka has confirmed that schools in the Western, Southern, Northern, Sabaragamuwa, Eastern, and North Central provinces will reopen on December 16, 2025.
The post Sri Lanka to reopen most schools from December 16, 2025 appeared first on Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA.","Tue, 09 Dec 2025 11:00:05 +0000",6.45,sri lanka reopen schools december 16 2025 ministry education sri lanka confirmed schools western southern northern sabaragamuwa eastern north central provinces reopen december 16 2025 post sri lanka reopen schools december 16 2025 appeared first sri lanka news breaking news amp top stories sri lanka onlanka,2,0.2023,0.0,0.2023,Neutral,general,Normal,"Reopen, Schools, Sri"
Onlanka.com,"Sri Lanka Navy promotes over 2,000 personnel during 75th anniversary celebrations",https://www.onlanka.com/news/sri-lanka-navy-promotes-over-2000-personnel-during-75th-anniversary-celebrations.html,"The Sri Lanka Navy marked its 75th anniversary today (December 09) with a series of special events, honoring long-standing naval traditions and religious observances.
The post Sri Lanka Navy promotes over 2,000 personnel during 75th anniversary celebrations appeared first on Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA.","Tue, 09 Dec 2025 10:23:22 +0000",6.45,sri lanka navy promotes 2 000 personnel 75th anniversary celebrations sri lanka navy marked 75th anniversary today december 09 series special events honoring long standing naval traditions religious observances post sri lanka navy promotes 2 000 personnel 75th anniversary celebrations appeared first sri lanka news breaking news amp top stories sri lanka onlanka,0,0.891,0.0,0.891,Opportunity,security,Normal,"Lanka, Sri, Navy"
Onlanka.com,UN releases $4.5 Million for Sri Lanka disaster relief,https://www.onlanka.com/news/un-releases-4-5-million-for-sri-lanka-disaster-relief.html,"The United Nations has pledged its full support to help Sri Lanka rebuild after severe damage caused by recent extreme weather.
The post UN releases $4.5 Million for Sri Lanka disaster relief appeared first on Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA.","Tue, 09 Dec 2025 05:30:24 +0000",6.45,un releases 4 5 million sri lanka disaster relief united nations pledged full support help sri lanka rebuild severe damage caused recent extreme weather post un releases 4 5 million sri lanka disaster relief appeared first sri lanka news breaking news amp top stories sri lanka onlanka,3,0.0516,-5.0,-4.9484,High Risk,"weather, transport",Major Event,"Sri, Lanka, Relief"
Onlanka.com,"Sri Lanka reports 635 dead, 192 missing after extreme weather",https://www.onlanka.com/news/sri-lanka-reports-635-dead-192-missing-after-extreme-weather.html,"The Disaster Management Centre (DMC) reports that 635 deaths caused by adverse weather conditions in Sri Lanka have been recorded so far, while 192 people remain missing.
The post Sri Lanka reports 635 dead, 192 missing after extreme weather appeared first on Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA.","Tue, 09 Dec 2025 04:14:24 +0000",6.45,sri lanka reports 635 dead 192 missing extreme weather disaster management centre dmc reports 635 deaths caused adverse weather conditions sri lanka recorded far 192 people remain missing post sri lanka reports 635 dead 192 missing extreme weather appeared first sri lanka news breaking news amp top stories sri lanka onlanka,3,-0.9638,-10.0,-10.0,High Risk,"weather, transport, sentiment",Major Event,"Sri, Lanka, Relief"
Onlanka.com,President orders swift restoration in Badulla,https://www.onlanka.com/news/president-orders-swift-restoration-in-badulla.html,"Sri Lankan President Anura Kumara Dissanayake stressed that the aim of the government is to ensure a safe life for every citizen and that it is everyone’s responsibility to act with proper supervision during the resettlement of displaced people.
The post President orders swift restoration in Badulla appeared first on Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA.","Tue, 09 Dec 2025 02:30:50 +0000",6.45,president orders swift restoration badulla sri lankan president anura kumara dissanayake stressed aim government ensure safe life every citizen everyone responsibility act proper supervision resettlement displaced people post president orders swift restoration badulla appeared first sri lanka news breaking news amp top stories sri lanka onlanka,3,0.7579,1.5,2.2579000000000002,High Opportunity,sentiment,Major Event,"Sri, Lanka, Relief"
Onlanka.com,BNMF donates Rs. 250 Million for Cyclone Ditwah disaster relief,https://www.onlanka.com/news/bnmf-donates-rs-250-million-for-cyclone-ditwah-disaster-relief.html,"The Bandaranaike National Memorial Foundation (BNMF) has donated Rs. 250 million to support Sri Lanka’s recovery efforts after the natural disasters caused by Cyclone Ditwah.
The post BNMF donates Rs. 250 Million for Cyclone Ditwah disaster relief appeared first on Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA.","Mon, 08 Dec 2025 17:18:19 +0000",6.45,bnmf donates rs 250 million cyclone ditwah disaster relief bandaranaike national memorial foundation bnmf donated rs 250 million support sri lanka recovery efforts natural disasters caused cyclone ditwah post bnmf donates rs 250 million cyclone ditwah disaster relief appeared first sri lanka news breaking news amp top stories sri lanka onlanka,3,-0.1531,-9.5,-9.6531,High Risk,"weather, transport",Major Event,"Sri, Lanka, Relief"
Onlanka.com,Foreign-made revolver and micro pistol recovered in Valaichchenai raid,https://www.onlanka.com/news/foreign-made-revolver-and-micro-pistol-recovered-in-valaichchenai-raid.html,"A special team from the Walana Anti-Vice Unit of the Sri Lanka Police carried out a raid this morning (December 8) in the area near the 20th milestone on the Polonnaruwa–Batticaloa main road, within the Valaichchenai Police Division.
The post Foreign-made revolver and micro pistol recovered in Valaichchenai raid appeared first on Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA.","Mon, 08 Dec 2025 14:00:18 +0000",6.45,foreign made revolver micro pistol recovered valaichchenai raid special team walana anti vice unit sri lanka police carried raid morning december 8 area near 20th milestone polonnaruwa batticaloa main road within valaichchenai police division post foreign made revolver micro pistol recovered valaichchenai raid appeared first sri lanka news breaking news amp top stories sri lanka onlanka,0,0.296,2.0,2.296,High Opportunity,"transport, security",Normal,"Lanka, Sri, Navy"
Onlanka.com,Sri Lanka receives major humanitarian aid from China following Cyclone Ditwah,https://www.onlanka.com/news/sri-lanka-receives-major-humanitarian-aid-from-china-following-cyclone-ditwah.html,"Sri Lanka received a large shipment of humanitarian aid from China today (December 08) to help communities affected by Cyclone Ditwah.
The post Sri Lanka receives major humanitarian aid from China following Cyclone Ditwah appeared first on Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA.","Mon, 08 Dec 2025 13:25:52 +0000",6.45,sri lanka receives major humanitarian aid china following cyclone ditwah sri lanka received large shipment humanitarian aid china today december 08 help communities affected cyclone ditwah post sri lanka receives major humanitarian aid china following cyclone ditwah appeared first sri lanka news breaking news amp top stories sri lanka onlanka,3,0.4404,-0.5,-0.059599999999999986,Neutral,weather,Major Event,"Sri, Lanka, Relief"
Onlanka.com,Sri Lanka President orders urgent repairs on Nuwara Eliya roads and irrigation,https://www.onlanka.com/news/sri-lanka-president-holds-urgent-meeting-on-damaged-roads-in-nuwara-eliya.html,"A special discussion on the damage caused by recent adverse weather in the Nuwara Eliya District was held this morning (December 8) at the Nuwara Eliya District Secretariat under the patronage of Sri Lanka President Anura Kumara Dissanayake, along with relevant officials.
The post Sri Lanka President orders urgent repairs on Nuwara Eliya roads and irrigation appeared first on Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA.","Mon, 08 Dec 2025 08:45:39 +0000",6.45,sri lanka president orders urgent repairs nuwara eliya roads irrigation special discussion damage caused recent adverse weather nuwara eliya district held morning december 8 nuwara eliya district secretariat patronage sri lanka president anura kumara dissanayake along relevant officials post sri lanka president orders urgent repairs nuwara eliya roads irrigation appeared first sri lanka news breaking news amp top stories sri lanka onlanka,3,0.1027,-6.0,-5.8973,High Risk,"weather, transport, sentiment",Major Event,"Sri, Lanka, Relief"
Onlanka.com,Government warns public against relief donation fraud,https://www.onlanka.com/news/government-warns-public-against-relief-donation-fraud.html,"The Government of Sri Lanka requests the general public to use the established formal mechanisms for the distribution of essential items through the Disaster Management Centre, District Disaster Committees, and Divisional Disaster Committees, and not to be misled by fraudsters.
The post Government warns public against relief donation fraud appeared first on Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA.","Mon, 08 Dec 2025 08:34:39 +0000",6.45,government warns public relief donation fraud government sri lanka requests general public use established formal mechanisms distribution essential items disaster management centre district disaster committees divisional disaster committees misled fraudsters post government warns public relief donation fraud appeared first sri lanka news breaking news amp top stories sri lanka onlanka,3,-0.959,-10.0,-10.0,High Risk,"weather, sentiment",Major Event,"Sri, Lanka, Relief"
Onlanka.com,"Businesses fined for selling water, rice at inflated prices",https://www.onlanka.com/news/businesses-fined-for-selling-water-rice-at-inflated-prices.html,"The Consumer Affairs Authority has taken legal action against several businessmen for selling everyday items at high prices.
The post Businesses fined for selling water, rice at inflated prices appeared first on Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA.","Mon, 08 Dec 2025 06:17:46 +0000",6.45,businesses fined selling water rice inflated prices consumer affairs authority taken legal action several businessmen selling everyday items high prices post businesses fined selling water rice inflated prices appeared first sri lanka news breaking news amp top stories sri lanka onlanka,0,0.3818,0.0,0.3818,Neutral,"transport, security, economic",Normal,"Lanka, Sri, Navy"
Onlanka.com,Special bus services for train passengers begin today,https://www.onlanka.com/news/special-bus-services-for-train-passengers-begin-today.html,"The National Transport Commission (NTC) has announced that special bus services for train passengers will start from today (December 8).
The post Special bus services for train passengers begin today appeared first on Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA.","Mon, 08 Dec 2025 03:30:36 +0000",6.45,special bus services train passengers begin today national transport commission ntc announced special bus services train passengers start today december 8 post special bus services train passengers begin today appeared first sri lanka news breaking news amp top stories sri lanka onlanka,2,0.836,0.0,0.836,Opportunity,"weather, transport",Normal,"Reopen, Schools, Sri"
Onlanka.com,Sri Lanka President vows to tighten laws against unauthorized constructions,https://www.onlanka.com/news/sri-lanka-president-vows-to-tighten-laws-against-unauthorized-constructions.html,"Sri Lanka President Anura Kumara Dissanayake said that the government will not allow unauthorised constructions in the future and will strengthen laws related to such activities.
The post Sri Lanka President vows to tighten laws against unauthorized constructions appeared first on Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA.","Mon, 08 Dec 2025 02:40:24 +0000",6.45,sri lanka president vows tighten laws unauthorized constructions sri lanka president anura kumara dissanayake said government allow unauthorised constructions future strengthen laws related activities post sri lanka president vows tighten laws unauthorized constructions appeared first sri lanka news breaking news amp top stories sri lanka onlanka,0,0.6124,0.0,0.6124,Opportunity,"security, sentiment",Normal,"Lanka, Sri, Navy"
Onlanka.com,Two U.S. Air Force aircraft arrive in Sri Lanka to support Cyclone Ditwah relief efforts,https://www.onlanka.com/news/two-u-s-air-force-aircraft-arrive-in-sri-lanka-to-support-cyclone-ditwah-relief-efforts.html,"Two C-130J Super Hercules aircraft and Airmen from the U.S. Air Force 36th Contingency Response Group arrived today (December 07) at Katunayake Air Base to support Sri Lanka’s response to Cyclone Ditwah, according to a statement from the U.S. Embassy.
The post Two U.S. Air Force aircraft arrive in Sri Lanka to support Cyclone Ditwah relief efforts appeared first on Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA.","Sun, 07 Dec 2025 12:34:17 +0000",6.45,two u air force aircraft arrive sri lanka support cyclone ditwah relief efforts two c 130j super hercules aircraft airmen u air force 36th contingency response group arrived today december 07 katunayake air base support sri lanka response cyclone ditwah according statement u embassy post two u air force aircraft arrive sri lanka support cyclone ditwah relief efforts appeared first sri lanka news breaking news amp top stories sri lanka onlanka,3,0.9584,-3.5,-2.5416,High Risk,"weather, transport, security",Major Event,"Sri, Lanka, Relief"
Onlanka.com,Myanmar sends humanitarian aid to Sri Lanka following severe weather,https://www.onlanka.com/news/myanmar-sends-humanitarian-aid-to-sri-lanka-following-severe-weather.html,"A Myanmar Air Force Y-8 aircraft carrying humanitarian aid arrived last night (December 6) at the Katunayake Air Force Base in Sri Lanka.
The post Myanmar sends humanitarian aid to Sri Lanka following severe weather appeared first on Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA.","Sun, 07 Dec 2025 08:00:13 +0000",6.45,myanmar sends humanitarian aid sri lanka following severe weather myanmar air force 8 aircraft carrying humanitarian aid arrived last night december 6 katunayake air force base sri lanka post myanmar sends humanitarian aid sri lanka following severe weather appeared first sri lanka news breaking news amp top stories sri lanka onlanka,3,-0.5267,7.0,6.4733,High Opportunity,"weather, security",Major Event,"Sri, Lanka, Relief"
LankaBusinessOnline,Opinion: Will the Response to Ditwah be Worse than the Disaster?,https://www.lankabusinessonline.com/opinion-will-the-response-to-ditwah-be-worse-than-the-disaster/,"By M. Rizwan Muzzammil The Parable of the Broken Window In 1850, the French economist Frederic Bastiat penned “The Parable of the Broken Window.” A boy breaks a shop window, and a glazier is paid six francs to repair it. Onlookers muse that such accidents are good for trade, as they keep windowmakers in business. [&#8230;]","Mon, 08 Dec 2025 10:33:35 +0000",6.92,opinion response ditwah worse disaster rizwan muzzammil parable broken window 1850 french economist frederic bastiat penned parable broken window boy breaks shop window glazier paid six francs repair onlookers muse accidents good trade keep windowmakers business 8230,4,-0.9153,-2.5,-3.4153000000000002,High Risk,"weather, transport, security, economic",Normal,"Road, Train, Aircraft"
LankaBusinessOnline,"Economic, fiscal & credit impact of disaster likely most material for Sri Lanka: Moody’s Ratings",https://www.lankabusinessonline.com/economic-fiscal-credit-impact-of-disaster-likely-most-material-for-sri-lanka-moodys-ratings/,"According to Moody’s Ratings, South and Southeast Asian countries have been severely impacted by several tropical cyclones and unusually heavy monsoon rains since mid-November, leading to widespread flooding and landslides and the tragic loss of hundreds of lives. Moody's assesses that the economic, fiscal, and credit impact of this disaster is likely to be most [&#8230;]","Mon, 08 Dec 2025 09:42:49 +0000",6.92,economic fiscal credit impact disaster likely material sri lanka moody ratings according moody ratings south southeast asian countries severely impacted several tropical cyclones unusually heavy monsoon rains since mid november leading widespread flooding landslides tragic loss hundreds lives moody assesses economic fiscal credit impact disaster likely 8230,3,-0.9571,-10.0,-10.0,High Risk,"weather, economic",Major Event,"Sri, Lanka, Relief"
